rank,username,owner,followers,profession,country

1,@instagram,Instagram,389,Social media platform,United States

2,@cristiano,Cristiano Ronaldo,271,Footballer,Portugal

3,@arianagrande,Ariana Grande,227,Musician and actress,United States

4,@therock,Dwayne Johnson,224,Actor and professional wrestler,United States

5,@kyliejenner,Kylie Jenner,222,"Television personality, model, and businesswoman",United States

6,@selenagomez,Selena Gomez,217,"Musician, actress, and businesswoman",United States

7,@kimkardashian,Kim Kardashian,211,"Television personality, model, and businesswoman",United States

8,@leomessi,Lionel Messi,192,Footballer,Argentina

9,@beyonce,Beyoncé,169,Musician,United States

10,@justinbieber,Justin Bieber,167,Musician,Canada

11,@kendalljenner,Kendall Jenner,156,Model and television personality,United States

12,@natgeo,National Geographic,156,Magazine,United States

13,@taylorswift,Taylor Swift,151,Musician,United States

14,@neymarjr,Neymar,147,Footballer,Brazil

15,@jlo,Jennifer Lopez,147,Musician and actress,United States

16,@nike,Nike,139,Sportswear multinational,United States

17,@khloekardashian,Khloé Kardashian,134,Television personality and model,United States

18,@nickiminaj,Nicki Minaj,132,Musician and actress,United States

19,@mileycyrus,Miley Cyrus,126,Musician and actress,United States

20,@katyperry,Katy Perry,115,Musician,United States

21,@kourtneykardash,Kourtney Kardashian,114,Television personality and model,United States

22,@kevinhart4real,Kevin Hart,106,Comedian and actor,United States

23,@virat.kohli,Virat Kohli,104,Cricketer,India

24,@ddlovato,Demi Lovato,101,Musician and actress,United States

25,@theellenshow,Ellen DeGeneres,96,Comedian and television personality,United States

26,@realmadrid,Real Madrid CF,96,Football club,Spain

27,@fcbarcelona,FC Barcelona,95,Football club,Spain

28,@badgalriri,Rihanna,93,Musician and businesswoman,Barbados

29,@zendaya,Zendaya,89,Actress and musician,United States

30,@iamcardib,Cardi B,86,Musician,United States

31,@kingjames,LeBron James,81,Basketball player,United States

32,@billieeilish,Billie Eilish,79,Musician,United States

33,@chrisbrownofficial,Chris Brown,78,Musician,United States

34,@champagnepapi,Drake,77,Musician,Canada

35,@championsleague,UEFA Champions League,71,Club football competition,Europe

36,@shakira,Shakira,70,Musician,Colombia

37,@vindiesel,Vin Diesel,69,Actor,United States

38,@victoriassecret,Victoria's Secret,68,Lingerie brand,United States

39,@davidbeckham,David Beckham,65,Footballer,United Kingdom

40,@gigihadid,Gigi Hadid,64,Model,United States

41,@nasa,NASA,64,Space agency,United States

42,@dualipa,Dua Lipa,63,Musician,United Kingdom

43,@priyankachopra,Priyanka Chopra,61,Actress and musician,India

44,@justintimberlake,Justin Timberlake,59,Musician and actor,United States

45,@shawnmendes,Shawn Mendes,59,Musician,Canada

46,@emmawatson,Emma Watson,59,Actress,United Kingdom

47,@shraddhakapoor,Shraddha Kapoor,59,Actress,India

48,@maluma,Maluma,57,Musician,Colombia

49,@9gag,9GAG,56,Social media platform,Hong Kong

50,@snoopdogg,Snoop Dogg,55,Musician,United States